gameid,patch,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_184086,15.01,Rumble,Corki,Maokai,Kai'Sa,Leona,1914,0,7,27,13,7,27,0,0,0,0,1,0.2194,1.0658,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT03_183991,15.01,K'Sante,Wukong,Taliyah,Zeri,Rell,1659,1,27,8,69,27,8,4,2,0,0,1,0.9765,1.2658,0,1,3,1,3,0,1,0,0,0,0
LOLTMNT03_187470,15.01,K'Sante,Zyra,Corki,Alistar,Ezreal,2405,0,25,22,62,25,22,1,0,0,0,0,0.6237,1.1726,0,2,4,2,4,0,0,2,0,0,0
LOLTMNT03_187471,15.01,Jayce,Wukong,Galio,Jinx,Tahm Kench,1751,0,10,22,32,10,22,1,0,0,0,0,0.3427,1.0965,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_188645,15.01,K'Sante,Wukong,Azir,Zeri,Alistar,1898,1,17,6,39,17,6,1,1,0,0,1,0.5374,0.7271,1,2,2,2,2,0,0,0,1,0,1
LOLTMNT03_191028,15.01,Varus,Azir,Xin Zhao,Renekton,Elise,1654,1,19,15,35,19,15,3,1,0,0,1,0.6892,1.2334,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT01_198810,15.02,Vi,Azir,Jax,Miss Fortune,Rell,1788,0,3,15,6,3,15,0,0,0,0,0,0.1007,0.604,0,2,2,2,2,0,0,1,0,1,0
LOLTMNT02_241987,15.06,Gwen,Maokai,Yone,Miss Fortune,Rell,1720,0,3,20,10,3,20,1,0,0,0,1,0.1047,0.8023,1,1,2,1,2,0,0,0,1,0,0
LOLTMNT02_243004,15.06,Kalista,Xin Zhao,Renata Glasc,Jax,Ahri,1587,1,22,7,51,22,7,4,3,1,0,0,0.8318,1.0964,1,4,0,4,0,1,0,0,0,1,2
LOLTMNT02_243459,15.06,Rumble,Ryze,Wukong,Xayah,Alistar,2020,1,16,9,37,16,9,3,1,0,0,0,0.4752,0.7426,0,3,2,3,2,0,0,1,0,2,0
LOLTMNT03_218624,15.07,Naafiri,Taliyah,Jayce,Xayah,Rakan,1980,1,18,7,41,18,7,2,0,0,0,1,0.5455,0.7576,1,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_221610,15.07,Azir,Ezreal,Leona,Zyra,K'Sante,1744,1,14,6,31,14,6,2,1,0,0,1,0.4817,0.6881,0,2,2,2,2,2,0,0,0,0,0
LOLTMNT03_229121,15.07,Varus,Naafiri,Taliyah,Nautilus,Jax,2070,1,19,13,45,19,13,3,0,0,0,1,0.5507,0.9275,1,4,1,4,1,1,1,2,0,0,0
LOLTMNT03_229200,15.07,Corki,Zyra,K'Sante,Zeri,Lulu,1474,0,0,20,0,0,20,0,0,0,0,0,0,0.8141,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_229809,15.07,Varus,Naafiri,Taliyah,Jax,Poppy,2254,0,12,22,27,12,22,2,0,0,0,0,0.3194,0.9051,0,2,3,2,3,0,0,0,2,0,0
LOLTMNT03_229822,15.07,Jayce,Skarner,Ryze,Miss Fortune,Rell,2019,1,16,10,36,16,10,0,0,0,0,0,0.4755,0.7727,0,3,2,3,2,0,0,0,3,0,0
LOLTMNT01_228821,15.08,Naafiri,Taliyah,Ezreal,Rell,Sion,1946,0,17,22,48,17,22,3,0,0,0,0,0.5242,1.2025,1,2,1,2,1,0,0,1,0,1,0
LOLTMNT01_233515,15.08,Kalista,Ashe,Ryze,Lillia,Renekton,1735,1,15,7,48,15,7,3,0,0,0,1,0.5187,0.7608,1,3,1,3,1,0,2,0,1,0,0
LOLTMNT01_237541,15.08,Jayce,Taliyah,Sejuani,Kai'Sa,Alistar,2090,0,7,15,22,7,15,0,0,0,0,1,0.201,0.6316,1,3,2,3,2,0,0,1,1,1,0
LOLTMNT01_238088,15.08,Kalista,Neeko,Jax,Viktor,Skarner,1860,0,11,18,23,11,18,2,0,0,0,0,0.3548,0.9355,0,1,3,1,3,0,0,0,0,0,1
LOLTMNT01_240045,15.08,Jayce,Skarner,Ahri,Lucian,Milio,2656,0,18,22,41,18,22,2,1,0,0,1,0.4066,0.9036,0,3,4,3,4,1,0,0,0,0,2
LOLTMNT02_257604,15.09,Naafiri,Rumble,Annie,Ezreal,Leona,1701,1,29,10,80,29,10,4,1,0,0,1,1.0229,1.3757,0,3,1,3,1,0,0,2,0,0,1
LOLTMNT02_258663,15.09,Ryze,Jayce,Skarner,Jinx,Tahm Kench,1733,1,13,8,33,13,8,1,1,1,1,0,0.4501,0.7271,1,4,0,4,0,1,0,0,2,0,1
LOLTMNT02_262815,15.09,Naafiri,Lucian,Nami,Sylas,Aurora,1872,0,7,15,10,7,15,0,0,0,0,0,0.2244,0.7051,0,2,2,2,2,0,0,0,1,1,0
LOLTMNT02_265983,15.09,Azir,Rumble,Xin Zhao,Kai'Sa,Neeko,1714,1,21,10,49,21,10,3,1,0,0,0,0.7351,1.0852,0,2,3,2,3,0,1,0,0,1,0
LOLTMNT02_265995,15.09,Gwen,Nocturne,Annie,Jinx,Lulu,1586,0,7,22,17,7,22,0,0,0,0,0,0.2648,1.0971,1,1,2,1,2,0,0,0,0,0,1
LOLTMNT02_267792,15.09,Gwen,Skarner,Ryze,Xayah,Nautilus,1671,0,5,28,12,5,28,1,0,0,0,1,0.1795,1.1849,1,1,3,1,3,1,0,0,0,0,0
LOLTMNT03_242254,15.1,Azir,Poppy,Jayce,Lucian,Braum,2027,0,6,18,10,6,18,0,0,0,0,0,0.1776,0.7104,0,0,5,0,4,0,0,0,0,0,0
LOLTMNT03_244928,15.1,Rumble,Varus,Ahri,Nautilus,Naafiri,1768,1,17,3,46,17,3,2,0,0,0,1,0.5769,0.6787,1,2,2,2,2,0,0,1,1,0,0
LOLTMNT03_244968,15.1,Taliyah,Pantheon,K'Sante,Lucian,Braum,1625,0,8,21,22,8,21,1,0,0,0,1,0.2954,1.0708,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_248140,15.1,Rumble,Xin Zhao,Ahri,Kai'Sa,Alistar,2100,1,21,9,53,21,9,4,1,0,0,1,0.6,0.8571,1,4,1,4,1,1,0,0,0,2,1
LOLTMNT03_247772,15.1,Varus,Naafiri,Annie,Rell,K'Sante,1826,1,25,13,77,25,13,5,0,0,0,1,0.8215,1.2486,1,4,1,4,1,0,1,1,0,0,2
LOLTMNT03_253709,15.1,Wukong,Rumble,Alistar,Kai'Sa,Galio,1617,0,8,28,17,8,28,0,0,0,0,1,0.2968,1.3358,1,1,3,1,3,0,1,0,0,0,0
LOLTMNT01_268653,15.14,Gwen,Xin Zhao,Varus,Rakan,Ahri,2386,0,12,20,24,12,20,1,0,0,0,1,0.3018,0.8047,1,4,2,4,1,2,1,0,0,1,0
LOLTMNT01_272461,15.14,Azir,Wukong,Rumble,Sivir,Braum,2439,1,20,16,68,20,16,5,2,0,0,0,0.492,0.8856,1,4,2,4,2,3,1,0,0,0,0
LOLTMNT01_273361,15.14,Varus,Nocturne,Orianna,Aatrox,Rell,1980,1,24,20,58,24,20,2,0,0,0,0,0.7273,1.3333,0,4,1,4,1,3,1,0,0,0,0
LOLTMNT01_273370,15.14,Gwen,Sivir,Galio,Naafiri,Leona,1683,0,9,17,27,9,17,1,0,0,0,1,0.3209,0.9269,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT02_296408,15.15,Azir,Gwen,Xin Zhao,Lucian,Braum,2119,1,21,12,46,21,12,1,0,0,0,1,0.5946,0.9344,0,3,2,3,2,0,0,0,0,3,0
LOLTMNT02_301649,15.15,Wukong,Gwen,Annie,Zeri,Lulu,2151,1,17,11,49,17,11,4,1,0,0,0,0.4742,0.781,1,3,3,3,3,2,1,0,0,0,0
LOLTMNT02_301689,15.15,Azir,Sion,Alistar,Jhin,Lee Sin,1600,1,25,7,57,25,7,3,0,0,0,1,0.9375,1.2,1,3,0,3,0,1,1,1,0,0,0
LOLTMNT02_303158,15.15,Taliyah,Jarvan IV,Rumble,Jhin,Rell,1778,1,30,12,71,30,12,4,0,0,0,0,1.0124,1.4173,1,3,0,3,0,0,1,0,1,0,1
LOLTMNT03_284713,15.16,Azir,Jarvan IV,K'Sante,Kalista,Renata Glasc,1704,1,17,9,41,17,9,2,1,0,0,0,0.5986,0.9155,0,2,2,2,2,0,0,0,0,1,1
LOLTMNT03_288407,15.16,Pantheon,Rumble,Varus,Galio,Alistar,2158,0,22,31,54,22,31,1,0,0,0,0,0.6117,1.4736,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT03_288421,15.16,Taliyah,Kai'Sa,Neeko,Nocturne,K'Sante,2151,0,17,27,43,17,27,2,0,0,0,0,0.4742,1.2273,1,2,3,2,3,1,0,0,0,1,0
LOLTMNT03_293371,15.16,Rumble,Wukong,Neeko,Sivir,Ryze,1922,0,11,17,28,11,17,1,1,0,0,1,0.3434,0.8741,0,2,3,2,3,0,0,1,1,0,0
LOLTMNT03_293376,15.16,Pantheon,Xayah,Rakan,Akali,Jax,1696,1,20,10,55,20,10,2,0,0,0,1,0.7075,1.0613,1,3,0,3,0,0,0,1,1,0,1
LOLTMNT01_280941,15.17,Pantheon,Kai'Sa,Neeko,Aatrox,Morgana,1684,1,24,4,66,24,4,2,1,1,0,0,0.8551,0.9976,0,3,1,3,1,0,1,0,0,0,2
LOLTMNT01_281636,15.17,Twisted Fate,Skarner,Jayce,Ezreal,Leona,1857,1,18,10,49,18,10,3,2,0,0,0,0.5816,0.9047,0,1,3,1,3,0,1,0,0,0,0
LOLTMNT01_281961,15.17,Sion,Ezreal,Leona,Lee Sin,Twisted Fate,1694,1,20,8,46,20,8,1,0,0,0,1,0.7084,0.9563,1,4,0,4,0,0,2,0,1,0,1
